brand,perfume,launch_year,main_accords,notes
Bond No 9,New Orleans,2009,"warm spicy, cinnamon, citrus, woody, fruity, vanilla","bergamot, mandarin orange, lily-of-the-valley, black currant, sandalwood, patchouli, amber, cinnamon, tuberose, violet leaf, cassis, vanille"
Daddy Yankee,DYamante,2010,"tropical, fruity, white floral, vanilla, fresh","jasmine, honeysuckle, sandalwood, amber, vanille, passionfruit, tropical fruit"
Collistar,Profumo dell Amore,2016,"floral, rose, citrus, fresh, woody, musky","rose, magnolia, peony, orchid, red fruits, musk, cedar, mandarin orange, bergamot"
Monastyrskiy Sad,Galileyskie Volny,2016,"balsamic, smoky, herbal, musky, citrus, amber","incense, myrrh, amber, artemisia, bergamot, musk, honey"
Expand,Happyholic 2 On The Earth,2009,"fruity, sweet, cherry, citrus, woody, white floral","cranberry, cherry, jasmine, lily-of-the-valley, musk, virginia cedar, amber, orange, pineapple, apricot, pear"
Tropical Feeling,Voluptuous Love,0,"white floral, fruity, woody, vanilla, citrus, musky","jasmine, apricot, vanilla, musk, cedar, citruses, black currant"
40 Notes Perfume,Exquisite Amber,0,"balsamic, vanilla, amber, musky, warm spicy","labdanum, styrax, benzoin, vanilla, musk"
Michel Klein,Illusion,2000,nan,nan
Novaya Zarya,Tango de Passion,2004,"aromatic, woody, warm spicy, fresh spicy, balsamic, bitter","rose, ylang-ylang, jasmine, lime (linden) blossom, patchouli, sandalwood, vetiver, amber, peach, fig tree, cloves, wormwood, tarragon"
Lorenzo Villoresi,Patchouli,1996,"woody, patchouli, earthy, warm spicy, balsamic, aromatic","patchouli, sandalwood, vetiver, cedar, oakmoss, benzoin, musk, patchouli, lavender, patchouli"
Atelier Cologne,Poivre Electrique,2016,"fresh spicy, woody, balsamic, warm spicy, smoky","olibanum, pimento, turkish rose, myrhh, cedar, sandalwood, bitter orange, black pepper, pink pepper"
Lulu Castagnette,Lulu Rose,2008,"rose, floral, musky, powdery, woody","rose, apricot, water lily, musk, cashmere wood, sandalwood, bergamot, violet leaf, cyclamen, violet"
Bettina Barty,Vanilla,0,"vanilla, sweet, warm spicy, powdery, fruity","vanilla, sweet notes, oriental notes"
Il Profvmo,Profumo d Italia,2011,"sand, marine, green, earthy, aromatic","sea water, soil tincture, green notes, sand"
Bruno Banani,Dangerous Man,2012,"citrus, fresh spicy, aromatic, woody, marine","nutmeg, clove, pepper, virginia cedar, amber, tonka bean, bergamot, amalfi lemon, orange, kumquat, mandarin orange, sea water"
becker eshaya,b e,2006,"floral, rose, musky, fresh, citrus","peony, lily-of-the-valley, rose, musk, mandarin orange"
Re Profumo,Alexandros,2014,"balsamic, warm spicy, vanilla, woody, white floral, smoky","jasmine, leather, vanilla, patchouli, sandalwood, cedar, incense, ylang-ylang, cinnamon"
Demeter Fragrance,Provence Meadow,2014,"fresh spicy, aromatic, herbal, fresh, soft spicy","fennel, basil, rosemary, lavender, thyme"
Est e Lauder,Azuree Pure,1969,"woody, aromatic, herbal, earthy, fresh spicy","cyclamen, orris root, jasmine, ylang-ylang, geranium, vetiver, rose, leather, amber, patchouli, musk, oakmoss, aldehydes, artemisia, gardenia, basil, sage, bergamot"
Jordin Sparks,Because Of You,2010,"citrus, vanilla, floral, sweet, amber","orchid, peony, musk, amber, vanille, woodsy notes, african orange flower, clementine"
Franck Boclet,Amber,2014,"balsamic, amber, fresh spicy, vanilla, patchouli","jasmine, patchouli, resin, vanilla, amber, bay leaf, oregano, ylang-ylang"
Katie Price aka Jordan,Stunning,2007,"patchouli, citrus, white floral, warm spicy, earthy","jasmine, patchouli, mandarin orange"
Mizensir,Luxury,2016,"powdery, vanilla, musky, amber, floral, balsamic","ambroxan, iris, benzoin, tahitian vanilla, tonka bean, white musk, orange blossom, bergamot"
Dr Taffi,Peperoncino,0,warm spicy,spicy notes
Roveri Aura,Valentina Di Guido Crepax,1989,"woody, floral, green, balsamic, powdery, aromatic","carnation, jasmine, rose, ylang-ylang, narcissus, lily-of-the-valley, orchid, orris root, amber, benzoin, tonka bean, labdanum, cedar, sandalwood, musk, civet, aldehydes, lemon, bergamot, hyacinth, galbanum"
I Coloniali,Ebano Ebano,1999,"woody, soft spicy, vanilla, leather, warm spicy, earthy","anise, spicy notes, leather, fern, moss, vanilla, woody notes"
Weil,Bambou,1984,"woody, earthy, white floral, citrus, aromatic, green","jasmine, ylang-ylang, tuberose, tea rose, sandalwood, oakmoss, bourbon vetiver, sicilian mandarin"
Reminiscence,White Tubereuse Eau de Toilette,2015,"tuberose, white floral, cinnamon, warm spicy, yellow floral","tuberose, ylang-ylang, cinnamon"
Tiziana Terenzi,Oud Nihal,2016,"fresh spicy, rose, oud, woody, aromatic","gurjan balsam, agarwood (oud), white oud, patchouli, cypriol oil or nagarmotha, musk, geranium, rose"
Tipton Charles,Arrogance Blue,2012,"warm spicy, woody, fresh spicy, fruity, green, balsamic","pepper, cinnamon, nutmeg, cardamom, sandalwood, vanilla, amber, bergamot, grapefruit, apple, mint, lemon"
Aquolina,Fragolina di Bosco,2015,"fruity, sweet, woody, earthy, foresty",wild strawberry
Bond No 9,Astor Place,2009,"floral, fresh spicy, ozonic, woody, citrus, aquatic","freesia, red poppy, orris root, amber, musk, teak wood, mandarin orange, violet leaf"
